,title,price,link
0,"Lenovo Yoga Slim 7 Intel Core
                                        Ultra 7 155H Built-in AI 14""(35.5cm) WUXGA-OLED 400Nits Laptop (32GB/1TB
                                        SSD/100% DCI-P3/FHD+IR Camera/Win11/MSO 21/1Yr ADP Free/3Mon. Game
                                        Pass/Grey/1.39Kg), 83CV002DIN  ","1,05,799",https://amazon.in//sspa/click?ie=UTF8&spc=MToyOTY4MTgwMTYxNTY3Mjc5OjE3MjM5MTc5NjU6c3BfYXRmOjMwMDE2OTI0MTg3NDUzMjo6MDo6&url=%2FLenovo-Built-WUXGA-OLED-400Nits-83CV002DIN%2Fdp%2FB0CTMQDLQX%2Fref%3Dsr_1_1_sspa%3Fcrid%3D31YSUI75O8L51%26dib%3DeyJ2IjoiMSJ9.VD-XFhPX3Cbc9vkghsNwZqjkwr89_P1eZfoLF5mgcxAXUNROBVNK5LTVCuIKMZcdqwiaLKg-Cm-nYFMIHlqy34lm5Ha_j5K0wTyLsFqdYgRF9mGa2ephpPLr_pqF88Z4jczcXXIdm3oQyyWGHO7OryJgSySFas7aDDjJhwXO9_Myv2n5lOAQlzq-jngStoiwr0YLz7suyEcVo0olvdDUUeP4w41UKWMj2JtYxyI6Ux8.Q1QN1dzFFgNtSmqoJnfQhkuzg6KI5EDPvfZxO6iis3M%26dib_tag%3Dse%26keywords%3Dlaptop%26qid%3D1723917965%26sprefix%3Dlapt%252Caps%252C239%26sr%3D8-1-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGY%26psc%3D1
1,"Lenovo IdeaPad Slim 3 13th Gen Intel Core i7-13620H 15"" (38.1cm) FHD IPS 300 Nits Thin & Light Laptop (16GB/512GB SSD/Win 11/MSO 21/1Yr ADP Free/Alexa Built-in/3 mon Game Pass/Grey/1.6Kg), 83EM008GIN  ","63,990",https://amazon.in//sspa/click?ie=UTF8&spc=MToyOTY4MTgwMTYxNTY3Mjc5OjE3MjM5MTc5NjU6c3BfYXRmOjMwMDIyNDI3MzIxNDAzMjo6MDo6&url=%2FLenovo-IdeaPad-i7-13620H-38-1cm-83EM008GIN%2Fdp%2FB0D6NCVQZQ%2Fref%3Dsr_1_2_sspa%3Fcrid%3D31YSUI75O8L51%26dib%3DeyJ2IjoiMSJ9.VD-XFhPX3Cbc9vkghsNwZqjkwr89_P1eZfoLF5mgcxAXUNROBVNK5LTVCuIKMZcdqwiaLKg-Cm-nYFMIHlqy34lm5Ha_j5K0wTyLsFqdYgRF9mGa2ephpPLr_pqF88Z4jczcXXIdm3oQyyWGHO7OryJgSySFas7aDDjJhwXO9_Myv2n5lOAQlzq-jngStoiwr0YLz7suyEcVo0olvdDUUeP4w41UKWMj2JtYxyI6Ux8.Q1QN1dzFFgNtSmqoJnfQhkuzg6KI5EDPvfZxO6iis3M%26dib_tag%3Dse%26keywords%3Dlaptop%26qid%3D1723917965%26sprefix%3Dlapt%252Caps%252C239%26sr%3D8-2-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGY%26psc%3D1
2,"Chuwi HeroBook Pro 14.1'' Intel Celeron N4020 Laptop with 8GB RAM, 256GB SSD, Windows 11, 1TB Expand, FHD IPS, Ultra Slim, USB3.0, Mini-HDMI, Webcam  ","16,990",https://amazon.in//Chuwi-HeroBook-Pro-Celeron-Mini-HDMI/dp/B0D9RXH8X5/ref=sr_1_7?crid=31YSUI75O8L51&dib=eyJ2IjoiMSJ9.VD-XFhPX3Cbc9vkghsNwZqjkwr89_P1eZfoLF5mgcxAXUNROBVNK5LTVCuIKMZcdqwiaLKg-Cm-nYFMIHlqy34lm5Ha_j5K0wTyLsFqdYgRF9mGa2ephpPLr_pqF88Z4jczcXXIdm3oQyyWGHO7OryJgSySFas7aDDjJhwXO9_Myv2n5lOAQlzq-jngStoiwr0YLz7suyEcVo0olvdDUUeP4w41UKWMj2JtYxyI6Ux8.Q1QN1dzFFgNtSmqoJnfQhkuzg6KI5EDPvfZxO6iis3M&dib_tag=se&keywords=laptop&qid=1723917965&sprefix=lapt%2Caps%2C239&sr=8-7
3,"Lenovo [Smartchoice] LOQ 12th Gen Intel Core i5-12450HX /39.6cm/ 144Hz 300Nits FHD Gaming Laptop (16GB/512GB SSD/Win 11/ RTX 3050 6GB Graphics/100% sRGB/MSO 21/3 Mon Game Pass/Grey/2.4Kg), 83GS003UIN  ","70,490",https://amazon.in//Lenovo-Smartchoice-i5-12450HX-Graphics-83GS003UIN/dp/B0CX8XPKWJ/ref=sr_1_75?crid=31YSUI75O8L51&dib=eyJ2IjoiMSJ9.qeXdtQ5LxKCNQSJG6T1mbHj_LqKuXnWYo7q-_ASD72RMNV75bW0cMxwpw-JkidcAL6Cls21hq2ZS0fwhoPa1cy12ZOTIihe4FkgHZ88DiJ8TYqfSoXuEU4RY9Y4UGwMil2tzi7ZdadbjTwkj2fK-aJ1MONxLye6BRlbdtvphgLGrh3zh7C-IMeXuPIlQFUZA0oRgM9YY2G6p0ZwpKFhQjMirLvwso7BWGp9ndtXxpr8.CyD02kiKqMGm3g2OIiIg3Rj8nJKdTf2q84SCz7wEp_w&dib_tag=se&keywords=laptop&qid=1723917985&sprefix=lapt%2Caps%2C239&sr=8-75
4,"ASUS TUF Gaming A15, AMD Ryzen 7 7435HS, 15.6-inch FHD 144Hz, Gaming Laptop (16GB/512GB SSD/NVIDIA GeForce RTX 3050/Windows 11/48WHr/Graphite Black/2.3 Kg), FA506NCR-HN054W  ","72,990",https://amazon.in//ASUS-15-6-inch-GeForce-Graphite-FA506NCR-HN054W/dp/B0D5DFR78J/ref=sr_1_76?crid=31YSUI75O8L51&dib=eyJ2IjoiMSJ9.qeXdtQ5LxKCNQSJG6T1mbHj_LqKuXnWYo7q-_ASD72RMNV75bW0cMxwpw-JkidcAL6Cls21hq2ZS0fwhoPa1cy12ZOTIihe4FkgHZ88DiJ8TYqfSoXuEU4RY9Y4UGwMil2tzi7ZdadbjTwkj2fK-aJ1MONxLye6BRlbdtvphgLGrh3zh7C-IMeXuPIlQFUZA0oRgM9YY2G6p0ZwpKFhQjMirLvwso7BWGp9ndtXxpr8.CyD02kiKqMGm3g2OIiIg3Rj8nJKdTf2q84SCz7wEp_w&dib_tag=se&keywords=laptop&qid=1723917985&sprefix=lapt%2Caps%2C239&sr=8-76
5,Lenovo V15 AMD Ryzen 5 7520U Laptop (8GB DDR5 RAM/ 512GB M.2 SSD PCIe NVMe/Windows-11/MS-Office/Arctic Grey/1.56Kgs) 1 Year Brand Warranty  ,"33,980",https://amazon.in//Lenovo-Windows-11-MS-Office-1-56Kgs-Warranty/dp/B08BV4VMH9/ref=sr_1_77?crid=31YSUI75O8L51&dib=eyJ2IjoiMSJ9.qeXdtQ5LxKCNQSJG6T1mbHj_LqKuXnWYo7q-_ASD72RMNV75bW0cMxwpw-JkidcAL6Cls21hq2ZS0fwhoPa1cy12ZOTIihe4FkgHZ88DiJ8TYqfSoXuEU4RY9Y4UGwMil2tzi7ZdadbjTwkj2fK-aJ1MONxLye6BRlbdtvphgLGrh3zh7C-IMeXuPIlQFUZA0oRgM9YY2G6p0ZwpKFhQjMirLvwso7BWGp9ndtXxpr8.CyD02kiKqMGm3g2OIiIg3Rj8nJKdTf2q84SCz7wEp_w&dib_tag=se&keywords=laptop&qid=1723917985&sprefix=lapt%2Caps%2C239&sr=8-77
6,"Acer Aspire Lite 12th Gen Intel Core i7-1255U Premium Metal Laptop (Windows 11 Home/16 GB RAM/512 GB SSD) AL15-52, 39.62cm (15.6"") Full HD Display, Metal Body, Steel Gray, 1.59 Kg  ","52,990",https://amazon.in//Acer-i7-1255U-Premium-Windows-AL15-52/dp/B0D262KC1J/ref=sr_1_78?crid=31YSUI75O8L51&dib=eyJ2IjoiMSJ9.qeXdtQ5LxKCNQSJG6T1mbHj_LqKuXnWYo7q-_ASD72RMNV75bW0cMxwpw-JkidcAL6Cls21hq2ZS0fwhoPa1cy12ZOTIihe4FkgHZ88DiJ8TYqfSoXuEU4RY9Y4UGwMil2tzi7ZdadbjTwkj2fK-aJ1MONxLye6BRlbdtvphgLGrh3zh7C-IMeXuPIlQFUZA0oRgM9YY2G6p0ZwpKFhQjMirLvwso7BWGp9ndtXxpr8.CyD02kiKqMGm3g2OIiIg3Rj8nJKdTf2q84SCz7wEp_w&dib_tag=se&keywords=laptop&qid=1723917985&sprefix=lapt%2Caps%2C239&sr=8-78
7,"Samsung Galaxy Book4 (Gray, 16GB RAM, 512GB SSD) | 15.6"" Full HD Screen | Intel Core i5 1335U Processor | Windows 11 Home | MS Office 2021 | Fingerprint Reader | Intel Iris XE Graphics | RJ45 LAN Port  ","61,990",https://amazon.in//Samsung-Processor-Windows-Fingerprint-Graphics/dp/B0D143SJ9R/ref=sr_1_79?crid=31YSUI75O8L51&dib=eyJ2IjoiMSJ9.qeXdtQ5LxKCNQSJG6T1mbHj_LqKuXnWYo7q-_ASD72RMNV75bW0cMxwpw-JkidcAL6Cls21hq2ZS0fwhoPa1cy12ZOTIihe4FkgHZ88DiJ8TYqfSoXuEU4RY9Y4UGwMil2tzi7ZdadbjTwkj2fK-aJ1MONxLye6BRlbdtvphgLGrh3zh7C-IMeXuPIlQFUZA0oRgM9YY2G6p0ZwpKFhQjMirLvwso7BWGp9ndtXxpr8.CyD02kiKqMGm3g2OIiIg3Rj8nJKdTf2q84SCz7wEp_w&dib_tag=se&keywords=laptop&qid=1723917985&sprefix=lapt%2Caps%2C239&sr=8-79
8,"Dell 14 Thin & Light Laptop, 12th Gen Intel Core i3-1215U Processor/8GB/512GB SSD/Intel UHD Graphics/14.0""(35.56cm) FHD/Windows 11 + MSO'21/15 Month McAfee/Spill-Resistant Keyboard/Grey/1.48kg  ","36,890",https://amazon.in//Dell-14-Rheinland-Certified-Comfortview/dp/B0BQJ9HZPP/ref=sr_1_80?crid=31YSUI75O8L51&dib=eyJ2IjoiMSJ9.qeXdtQ5LxKCNQSJG6T1mbHj_LqKuXnWYo7q-_ASD72RMNV75bW0cMxwpw-JkidcAL6Cls21hq2ZS0fwhoPa1cy12ZOTIihe4FkgHZ88DiJ8TYqfSoXuEU4RY9Y4UGwMil2tzi7ZdadbjTwkj2fK-aJ1MONxLye6BRlbdtvphgLGrh3zh7C-IMeXuPIlQFUZA0oRgM9YY2G6p0ZwpKFhQjMirLvwso7BWGp9ndtXxpr8.CyD02kiKqMGm3g2OIiIg3Rj8nJKdTf2q84SCz7wEp_w&dib_tag=se&keywords=laptop&qid=1723917985&sprefix=lapt%2Caps%2C239&sr=8-80
9,"Lenovo IdeaPad 3 12th Gen Intel Core i3-1215U 14 Inch (35.5cm) FHD Thin & Light Laptop (8GB/512GB SSD/Windows 11/Office 2021/1Yr ADP Free/3months Game Pass/Arctic Grey/1.43Kg), 82RJ00F1IN  ","34,990",https://amazon.in//Lenovo-IdeaPad-i3-1215U-Windows-82RJ00F1IN/dp/B0D14Z7BB7/ref=sr_1_81?crid=31YSUI75O8L51&dib=eyJ2IjoiMSJ9.qeXdtQ5LxKCNQSJG6T1mbHj_LqKuXnWYo7q-_ASD72RMNV75bW0cMxwpw-JkidcAL6Cls21hq2ZS0fwhoPa1cy12ZOTIihe4FkgHZ88DiJ8TYqfSoXuEU4RY9Y4UGwMil2tzi7ZdadbjTwkj2fK-aJ1MONxLye6BRlbdtvphgLGrh3zh7C-IMeXuPIlQFUZA0oRgM9YY2G6p0ZwpKFhQjMirLvwso7BWGp9ndtXxpr8.CyD02kiKqMGm3g2OIiIg3Rj8nJKdTf2q84SCz7wEp_w&dib_tag=se&keywords=laptop&qid=1723917985&sprefix=lapt%2Caps%2C239&sr=8-81
